,reviews
3527,"
The sound quality is great....if you can get them to work. The B&O software is full of bugs and the Bluetooth connection is unreliable on Android. BT headphones should not take 30 min of trial and error to get them to work. Stay away until they fix the software.
"
3528,"
All good.
"
3529,"
The headphones would not pair with my Windows 10 ThinkPad at all. They pair to my Android phone and Macbook but the volume swipe didn't work when paired to any device. The mute button didn't work on any device either. A big FAIL, and a hassle to return.Tech support's only option was to update the headphone's firmware using the B&O app. I did that and it didn't fix the problems at all. Their tech representative was rather rude as well.
"
3530,"
Pairing is hit or miss, the B&O app is awful, the controls on the ear cups rarely work, sound quality isn't as good as it should be for the price, noise canceling is sub par. Not woth the money, even though they dropped almost $60 a week after I purchased them. Oh, one positive, good battery life.
"
3531,"
Couldn't use the controls on the ear Cup.
"
3532,"
Cheap Headphones maybe $20 -$50 zero quality very comfortable design
"
3533,"
I hate to listen to an airplane on a long flight these are great OMG the best I have ever tried
"
3534,"
The worst headphones that Bang & Olufsen have created. The materials are not long lasting. I had only had them for 8 months and the parts in the headband started to get unattached. Looks like the glue did not work or was not applied well when assembling the headphones.
"
3535,"
If you can afford these headphones, got ahead and pull the trigger. The build quality, ANC, sound, app, transperancy mode, everything about this headphone is incredible. Additionally, it comes with a hard shell case. Now, if you can get your hands on the Dark Maroon, you will not find a better looking headphone. Now, this is not a Sennheiser HD800s headphone, but for working, easy activities and style, this can not be topped
"
3536,"
Just wanted to mention that I did not buy these from Amazon, I bought them directly from the B&O online store.I'm going to be truthful because I'm a big fan of B&O. The Beoplay HXs sound, feel, and look very amazing. I don't know really where to start the review.Sound quality: Your typical B&O sound quality. Beautiful, clean, crisp, doesn't sacrifice any instrument, thumping bass but it's not obnoxious or distorts other instruments and/or vocals. Music separation is fantastic. Not like open back or closed-back headphones that are meant to be plugged into an AMP/DAC but it's damn near close. My favorite out-of-the-box sound signature/sound quality brand of headphones where I don't have to tweak the EQ (that much) is B&O, Sennheiser, Monolith, Master & Dynamic, Audeze, and Grado.Battery: B&O claims a 35-hour battery with ANC n and a few more hours with it off. That's incredible and it's true so far. I'm very impressed with the battery.Connection: You can connect through BT or with a wire. Now, this is the one downside to these headphones. When you use the cable, you HAVE to turn the headphones on to hear audio. If I'm wrong, someone please correct me. I'm not going to deduct a star because it doesn't play a huge part to me.- The 5.1 BT connection is solid and doesn't break the connection when my phone is in my pocket or when I'm 2 floors down and left my phone on the third floor.Noise Cancelation: I've owned a pair of H9 3rd Gens and ever since owning those, I've always thought why B&O isn't taken seriously when comparing ANC to say Sony or Bose, the kings.- Let's say ANC is a 10/10 on both Sony and Bose, the HXs are a 9.5/10. Same with the 3rd Gens from what I remember.I'll say it again, I love the HXs. B&O delivers another worthy, beautiful product. What else is new?
"
3537,"
I wouldn’t exactly consider myself an audiophile when I see how hard core some real audiophiles are. I’m not super knowledgeable on the technical side and don’t have a seemingly bottomless budget to spend on owning a wide variety of equipment. However, I do care very much about enjoying my music at the highest level of detail possible.You know the feeling you get when you invest hours into research looking for the optimal product, the product finally arrives in a package at your house, and it really is as great as you were hoping for? That’s the feeling I had the first time I tried on my new Beoplay HX’s. My goal was to find the best sounding headphones to wear out in public, whether it’s for traveling or doing work at a coffee shop or library. And I have finally found the best product for myself. I have owned multiple pairs of headphones from the Bose QC line and the Sony XM line that I used to use for this purpose. But then I spoiled myself by listening to my Sennheiser HD 660S at home too much, and Bose and Sony no longer sounded good enough for me to enjoy my music.Sound quality:Like I was saying, my primary draw to these was that I was looking for the best sound quality possible for a pair of headphones of this class. Technically, the H95 would probably be better if I like these, but they were not on my list of considerations because I was not willing to pay the $850 price tag. In terms of level of enjoyment of music, the HX’s beat all similar noise cancelling headphones I have tried, including all Bose and Sony and other Beoplay headphones. Tight and clear bass which I like, good mids, and enough treble without the fatigue. I have always had a strong dislike for fatiguing treble, because it’s tricky to get the right balance of hearing the treble well but being able to tolerate long listening sessions without the fatigue. These do an excellent job of getting the right balance.Noise cancelling:These are not best in class for noise cancelling, but they fit my standard of “good enough”. And honestly, they’re really not significantly worse than best in class. I did a side by side comparison with my Sony XM3 while playing simulated engine and coffee shop noise from a third device. And while the XM3’s did do better, I could only tell the difference with music off. With music playing, the two pairs felt similar. My standard of “good enough” means that when I’m in a noisy environment, I can enjoy my music with most of the details without needing to blast the volume. At most, I would want the volume to be one notch higher than I would keep it at home in a quiet environment. These definitely get the job done for these intents and purposes.I have also owned the H9 3rd generation and tried the Beoplay Portal, and the HX’s, at least to my ears, beat both by a decent margin. Compared to the H9 3rd, these are better in that the bass is tighter and more refined, and there’s more sparkle or clarity in the mids and treble. I read from multiple sources that the Portals were supposed to have the same drivers as the HX’s, but they don’t sound the same at all. I purchased a pair of Portals to replace my H9’s and was sorely disappointed when I tried them on. My logic was that if HX’s and Portals were really that similar, I might as well have the gaming headset option even if I don’t game that often, but they are definitely not the same in sound. I felt like the Portals were more detailed than the H9 3rd generations, but music just wasn’t enjoyable for reasons I can’t completely articulate because my technical knowledge is limited. It may have to do with the way they were tuned, in that they were designed with less of a focus on being musical and more about hearing your game environment.Comfort:In regards to comfort, the things I look for are that whey I lie down, they don’t slip off my head, ears don’t touch inside of earcup, and that I can wear them for a long period of time without uncomfortable pressure or heat in my ears. These definitely fit the criteria I listed. One of my complaints about the Sony XM series was that they would slip down the back of my head when I wanted to lie down with them due to the weight distribution. The Bose QC series were good about not having that problem. The H9 3rd gen that I owned slipped occasionally. I haven’t had much of a problem with these. Also no problem with my ears touching the inside of the earcups, which was another gripe I had with the Sony XM series.Style/design:If I’m going to be wearing my headphones in public, style or design does matter. And in my opinion, these were designed with looks in mind. In my opinion, better looking than the Sony XM series by far, still better looking than the Bose QC series, and the only competitor comparable in style is probably the Bose 700 (which don’t sound good at all). It is worth noting that these don’t collapse, so they do take up more room in my backpack compared to most competitors. But that’s a relatively small tradeoff I’m willing to make if I love the overall package.
"
3538,"
I love these and think they are a large improvement from their predecessors.
"
3539,"
Agree with the previous review. My main gripe is the lack of seal on the bottom of each ear cups which compromise noise cancelling and let's quite a bit if ambient sound in.The cups are also surprisingly hard on the ear cartilage since it rest on them too much.Sound is incredible!
"
3540,"
I've owned lots of headphones, Bose and otherwise.I use them for hours a day, everyday.They get dropped, jerked around, subjected to all kinds of stress.None has stood up like these B&O headphones.I've had these for almost two years now and not a single issue.The BOSE noise-cancelling headphones I has previously broke after a year.These may seem expensive, but you are getting what you pay for.The only possible alternative may be the Bowers & Wilkins.But, whatever you do, never choose the Sony headphones.Despite being Japanese, the build quality just isn't there.
"
3541,"
I bought the HX directly from B&O, not from Amazon, hoping it would mitigate the risk of the touch control issue experienced by many according to Amazon's comment section. It didn't help. I can't tap, swipe, or spin it.Upgrading the software puts the headphones in limbo: I can't turn it off and I can't connect either. Had to factory reset.The power button (and the mode switch button) is much more easily triggered than on H9i, which is bad is my opinion.The sound, comfort, and noise cancelling are actually better than H9i if you trust me, but the robustness is beyond disappointing.
"
3542,"
I’ve been a Bang & Olufsen loyalist for years. I own a number of their audio products. The issue I’m having is with their new H9 replacement, Beoplay HX. The touch control is non-responsive to volume control. I’ve owned every generation of the H9 line, RMA’d an H9 3rd Gen previous to the HX, with a defective Bluetooth module.I bought the Beoplay HX days after its release. The unit arrived 5 days from the date of purchase. I was rather disappointed it arrived defective, especially after a previous RMA on an H9 3rd Gen. barely 2 months ago. Also, the noise cancellation doesn't even match the H9, there's leakage into the headphones from the surroundings, or the technology has been degraded in this model. At this rate, quality control is rather concerning compared to previous models. I want to purchase the E8 3rd Gen Sport for the gym but I have decided to hold off, or maybe go with something like Sennheiser or Bose.To put my hardware engineering hat on, in my opinion, the circular swipe design lends itself to problems because of the large capacitive touch area. They call it intuitive but it just doesn’t work as reasonably expected. It’s not flawless like Bose’s even on a good unit. This is my biggest knock on most modern B&O headphones with this volume control mechanism. I’m not sure why B&O insists on these awkward mechanics. I believe Bose is fairly successful in this area because their capacitive swipe is quite smooth and fairly accurate (I’ve owned all models of Bose headphones as well). On the Bose NC 700, to increase the volume, hold and swipe up. To decrease the volume, hold and swipe down. This in my opinion is more intuitive.The HX was the first purchase from the B&O website, I’ve made other purchases on Amazon and their boutique stores around the world. Obtaining an RMA on the online purchase was not an issue, it was a fairly easy process. I take issue with the non-sensical return process. After shelling $500 for a pair of headphones that arrived defective to no fault of mine, I don’t want to wait for another 40 to 50 days to get my hands on another pair. The 30 days free return on the website is misleading at best. It’s really lacking in details to account for this long return process. You don’t get a refund for another 2 to 3 weeks after they receive the defective unit. No matter if it’s the 30 days free return advertised on their website or return for replacement, the return shipping label from the company, in either case, is UPS ground, which could take up to a week to reach their warehouse. Adding to the 2 to 3 weeks RMA return process I mentioned, when all said and done, expect the return and refund process to take a month before you see your money. If you plan to re-purchase another unit, adds another 4 days to 5 days to received the unit. Expect 5 weeks to enjoy your Beoplay HX if you receive a defective unit. I can successfully RMA a Bose product and have my money back in less than a week. The big question becomes, why wait this long if returns are free as advertised? Logic dictates one should get a refund when they receive the unit and verify contents, a process that shouldn’t take more than 48 hours to be charitable. In my opinion, they should add the language “Allow 4 to 6 weeks for free return or RMA,” to be accurate.Alternatively, you can fork more cash to purchase another unit with the hope you will get a refund on the defective unit; that’s a $1,000 opportunity cost to you and cash-at-hand for B&O. If this sounds like a Ponzi scheme, that is my concern. And the story doesn’t end there. The surprise came when I tried to air my concerns to a supervisor or manager. They don’t exist… Similar to the Chinese model of customer service, the support staff you speak to on the phone is the end of the line. They don’t even have anyone to call you back. Per the support team call line, supervisors or managers don’t exist. If support can’t address your issue, you’re SOL!… If I’m purchasing a premium pair of headphones, I expect commensurate customer service. Companies selling $50 headphones have supervisors who can address concerns beyond the support staff level. This is the reason I referred to this manner of doing business as akin to a Ponzi Scheme—everything about the B&O decision-making chain is opaque. This business model appears to be ""TRUST US"", like the majority of Chinese manufacturers. Trust comes with transparency. If you don’t have a front-facing supervisory staff and want to sell consumers, then this is a major problem. Most consumers like to know concerns are being addressed by management should the need arise to escalate an issue. B&O generally makes good products but my online experience has been an eye-opener. In my opinion, they need to be more responsive to customers' concerns, especially if one is to spend a premium on their headphones. I’m not sure they appreciate there is a healthy level of competition with many reputable electronic makers coming on board to get a piece of this rapidly growing pie.From my experience, Bose is a level above the rest when it comes to their RMA process. Even though the return is ground, your exchange is ready to go as soon as UPS scans the return. You can receive an exchange for a defective unit in as little as 3 days from the time you request an RMA. Depending on how fast you need your headphones, shipping on the replacement unit can be upgraded as a courtesy to UPS 2nd Day Air. Compare that with 5 to 6 weeks for B&O. Plus, you can escalate your concerns to the level you wish, they are available to address your concerns. If they make a mistake with their order process, you get a free upgrade or sometimes free headphones. Bose has the best customer service experience in my book when it comes to consumer headphones. That’s what I expect from a premium headphone maker.UPDATE: 4-22-21 - Thoughts After Purchasing the 2nd Headset in Lieu of Waiting For RMA Process to Complete:I went with my option B and bought another pair of headphones while waiting for the previous set to get RMA'd for a full refund hopefully. The problem I stated, with my first headsets--non-responsive volume control swipe--still persists. In my opinion, this is most likely a hardware flaw or a bad production batch. You can't have two different headsets bought at different time periods exhibiting the exact same problem. I'm comparing it to the smooth mechanics of the Beoplay H9 series. I found however that if you press on the control area with a moderate-to-high amount of pressure, it works somewhat, but is far from accurate, or even an ideal solution. This is something Bang & Olufsen engineers may have to address. I'm not sure if this can be done through a firmware update. If it's adjusting sensitivity, this can be done... I like the headphones, the earcups are slighting larger, the sound signature is what you expect from B&O, and the carrying case is finally commensurate with premium headphones. But I'm disappointed with the ANC. It is not as good as the H9, which was not as effective as say Bose NC 700. I will keep them for the 30-day grace period and see if I can live with this big inconvenience if no proposed hardware remedies. If anything changes, I will be sure to provide an update.UPDATE: 4-24-21: Battery LifeWOW!!!... The battery life on these headphones is truly amazing, I just had to share this update.I decided to put together my Summer tracks. I couldn't believe the battery life on these headphones. They last over 48 hours of continuous heavy music listening, with ANC on, at about 80% volume, and still had 20% battery remaining!! I haven't experienced any premium headphones out there with such juice.  You have to move into custom $1,000 plus headphones. Battery life is truly phenomenal, better than advertised in this experience!! Bose NC 700 are ready to quit after less than 24 hours of continuous listening with ANC on. Sony MX1000's go a little longer but nothing compared to the B&O HXs. This is a big positive if you travel frequently.
"
3543,"
I bought these knowing I could return them as I was wary of the price.  I have a lot of headphones Sony XM3s, Sennheishre HD600s, Bose QC30s, Senn MTW, etc.  I have to say these are excellent.  Comfort is exemplary - you truly do forget you have them on.  Sound is superb.  Better than Sony's significantly.  Sony's can sound muddy.  Connectivity is finicky at first and almost a deal breaker.  I updated them and also used them for a few days and somehow it sorted itself out.  They always repair with my phone and laptop with a rare issue.  Controls are ok - take some getting used to but work (mostly).  NC is just ok.  I didn't buy these for NC, but can say for sure not as good as Sony's or Bose - but that is expected.  Overall, build quality, sound quality and comfort make these a good purchase imo.
"
3544,"
If you like the B&O sound you'll love these. I slightly boosted the bass in the EQ to get the sound I wanted, but they're super crisp and clear. The noise cancelling is decent, better than I was expecting from reviews, but I don't think they'd be great for air travel.My biggest issue is that the Timber marketing photos are completely inaccurate - the leather is bright, almost orange, and not very natural looking. It makes them look cheap. I think I'll be exchanging for a different color.
"
3545,"
I’ve been wanting to try Bang & Olufsen headphones for sometime but the H95’s were just too much $$$ for me to justify the expense. However the newer HX’s were a $100 off their regular price so I decided now was the time to try them. I have tried numerous wireless noise canceling headphones over the last year and really liked a number of them but none were exactly right for one reason or another. I tried Sennheiser Momentum 3’s, Bowers & Wilkins PX7’s, Master and Dynamics MW65’s, Shure Aionic 50’s and still own the Sony WH-1000XM4’s and the AirPods Max. In my opinion the Bang & Olufsen HX’s are the best of the lot, overall, but aren’t perfect by any means but are very close. Longer battery life, excellent sound especially when tweaked with the equalizer in the Bang & Olufsen app and are super comfortable for extended wear. Noise cancelling is very good, not Sony level but close. To my ears sound better than the AirPods Max and so much lighter and more comfortable. One note on comfort is yes, the round ear cups are smaller then the rectanglular shape of the AirPods Max and will probably sit a little on your ears as they do mine, however the leather covered memory foam ear pads combined with the light but stable clamping force of these headphones make it a non issue. After 3+ hours of wear I was only minimally aware of them, they are that comfortable. They have a wear detection feature but I found even on the reduced setting it would pause music with the slightest turn of my head so I turned it off. I read longer hair (I do need a hair cut) can cause issues and a recalibration can fix it but it’s not that important to me at this time. As for the only other issue that will bother some is the touch controls are finicky for sure, the play, pause and swipe to change tracks works fine but the volume swipe around the cup is very difficult to get to work, at least for me it has been, but still not that big of a deal to me. I love the sand color with the gold accented aluminum finish on the cups which is eye-catching for sure. Only had them for less than 24 hours so can’t really speak about battery life as of yet but seems to be on par with what Bang & Olufsen claim. Sound quality is top-notch with a well balanced sound the you can adjust in the app to what you like. Bass is precise and pleasant, especially on the warmer side of the eq but not overpowering like some. It hits the sweet spot for me. Over-all these are my favorite headphones yet and I highly recommend them especially at the Black Friday prices! I may update later as I use them more and after I use them outside of the apartment. I’m a headphone addict I guess and I love these headphones!11/28/21 Update. The wear sensors work great as long as you calibrate them first: have the headphones on a flat surface, turn them on, turn in the wear sensors and then put them on. Once calibrated they work perfectly. I do recommend the “reduced sensitivity “ setting. Also the volume slider works fine as long as you are swiping in the right spot inside the ring on the right ear cup. Battery life is as advertised! Love them!Update 12/16/21: Sadly, I decided to return these headphones for a couple of reasons: noise cancelling was not very strong and didn’t really block out much noise (especially on the bus commuting to work). The wear sensors worked when calibrated every time you turn on the headphones but when I had them connected to both my iPhone and iPad Pro they would always auto play music from my iPad no matter what I had been listening to prior to turning them on/off. Also the sound was very finicky, they sounded great for instrumental and jazz but other genres weren’t as great with either sharp highs or the bass would distort at higher volumes (even after the software update was supposed to fix this issue). I was constantly having to adjust the EQ to find a good sound that wouldn’t sound great across all songs. I really wanted to love them because of the premium design, materials and good looks, but in the end decided they weren’t worth the high price. Went back to the Sony WH-1000XM4’s and am happy with my decision (strong sound and excellent noise cancellation).Update Again, 2/16/22. After purchasing and liking Shure’s Aonic 40 headphones, but not satisfied with their build quality, I couldn’t resist purchasing the B & O Beoplay HX (this time in Black Anthracite) again and I’m so happy I did. (What was I thinking returning them?) the build quality is first rate, super comfortable (despite the round ear cups which do sit on my ears a bit, but are soft and really comfortable even for long periods) and the sound quality is the best over all that I’ve tested. I wasn’t impressed the first time with the noise cancellation but upon this second listen realize it is better than I gave it credit for and slightly better than than the noise cancellation on the Shure’s. Once you find the right spot on the unusual eq in the app the sound is kind of unparalleled. The only issues I have found is the wear sensors don’t always work so I turned them off, and the multi-point connection causes some unwanted functions like automatically playing from my iPad Pro even if I was listening on my iPhone last time they were connected. (Auto play not an issue with the sensors turned off anyway). Also, the touch controls are finicky but I’ve found most are.  Not deal breakers for me. I revised my rating and now highly recommend the HX, particularly at a discounted price (they are pricey, but you get what you pay for, as they say!)
"
3546,"




                    The media could not be loaded.
                



 ATTENZIONE!!! ATTENZIONE!!! ATTENZIONE!!!  AGGIORNAMENTO RISOLUTIVO Ver. 2.0.1Oggi 30.10.2021, come faccio periodicamente con i prodotti che recensisco in modo particolarmente negativo, tendo a rianalizzarli per verificare eventuali interventi risolutivi da parte delle Aziende produttrici.  Oggi è toccato alla cuffia Bang&Olufsen HX, e a conferma del fatto che ciò che ho cercato di dimostrare nel video che trovate in allegato e descritto in recensione corrispondeva a verità, mi sono ritrovato un aggiornamento in Applicazione da parte dell'azienda B&O  dove è riportato il difetto di distorsione di cui parlavo. Circa un ora fa ho proceduto all'aggiornamento firmware  Ver.2.0.1 e ho riverificato con la mia solita scrupolosità la cuffia. Posso affermare con estrema soddisfazione e facendo i complimenti alla Bang&Olufsen che il problema è stato risolto completamente. Adesso si che riesco ad apprezzarla pienamente e confermare il fatto che si tratta di una cuffia premium di elevatissima qualità generale.ATTENZIONE !!  TUTTO QUELLO CHE LEGGERETE DA QUI IN POI E' LA RECENSIONE CHE PUBBLICAI IL GIORNO 09.04.2021. ANCHE IL VIDEO DIMOSTRATIVO RACCONTA IL DIFETTO CHE ADESSO NON E' PIU' PRESENTE, ADESSO SUONA IN MODO MERAVIGLIOSO!RECENSIONE CUFFIA BLUETOOTH BANG & OLUFSEN BEOPLAY HX- PICCOLA PREMESSANutro la passione per l'ascolto della musica fin da quando ero bambino. Ho posseduto e provato nel corso della mia vita le più svariate tipologie di cuffie, cablate, wireless, da gaming, IN-EAR, OVER Ear e chi più ne ha più ne metta.Possiedo e ascolto cuffie del calibro di Marshall, Yamaha, Sennheiser Sony, Jabra, e le vario a seconda della tipologia di genere musicale che in quel momento mi va di ascoltare.Dico fin da subito che al momento la cuffia bluetooth OVER-EAR che preferisco in assoluto è la Sony WH-1000XM4 che utilizzo con estrema soddisfazione quasi tutti i giorni. Sarà quindi inevitabile qualche confronto diretto con le BEOPLAY HX.INIZIO A RACCONTARE QUELLA CHE E' STATA LA MIA DELUDENTE ESPERIENZANon ho mai avuto fino a questo momento la possibilità di provare una cuffia del prestigioso brand B&O e avendo avuto questa occasione, ero particolarmente euforico, per cui anche le aspettative erano estremamente elevate.Non appena mi è arrivata ho installato l'applicazione della B&O sul mio Iphone X per l'accoppiamento. Fatto ciò, l'applicazione mi ha indicato la presenza di un firmware più aggiornato e prima di iniziare ad utilizzare la cuffia l'ho aggiornata alla versione 1.2.9.L'ho indossata ed ho iniziato ad ascoltare per una mezzoretta generi pop, jazz e leggera mantenendo il volume della cuffia a non più del 50%. La pulizia, la chiarezza, la precisione dai bassi e la brillantezza degli alti mi ha immediatamente rapito! Un suono davvero fantastico, un livello di dettaglio e fedeltà a dir poco disarmante. Davvero meravigliose è stata la prima cosa che ho pensato.Dopo la prima oretta di ascolto ""SOFT"" ho iniziato a spingermi oltre il 50% di volume per valutare il livello di massima pressione sonora. Che dire, fantastico anche questo....mah,,,, iniziavo a percepire qualcosa che non mi convinceva.Quando ero i al 100% del volume, apprezzavo su alcuni brani un qualcosa che non riuscivo a focalizzare bene, tipo uno scoppiettio, un gracchio, una distorsione... un qualcosa che saltuariamente veniva fuori su delle variazioni soprattutto dei bassi e sugli alti all'interno dei brani.Non ho dato tanta importanza a questa ""cosa poco chiara"" e ho proseguito con lo studio della cuffia e della sua applicazione. Ho apprezzato all'interno dell'applicazione la presenza di un equalizzatore con Preset e personalizzabile ed ho iniziato a colorare maggiormente le basse e le alte frequenze. Improvvisamente ho iniziato ad avvertire quel ""rumore poco chiaro"" di cui vi parlavo prima,  in modo decisamente più forte, fastidioso e incomprensibile. Sembravano delle scariche improvvise sui driver estremamente fastidiose e preoccupanti. Non vi nascondo che ho iniziato a pensare ad una inspiegabile rottura della cuffia. Quindi ho iniziato a fare tantissime prove. L'ho collegata in streaming AAC su Iphone, successivamente l'ho collegata in Aptx su uno smartphone Android per poi passare al collegamento cablato attraverso il jack da 3,5 mm e il DIFETTO ENORME ERA SEMPRE PRESENTE.Dopo tante prove ero giunto alla conclusione che con molta probabilità avevo ricevuto uno sfortunato campione guasto. Considerata l'importanza ed il peso negativo che avrebbe avuto la mia recensione su questo prodotto, ho voluto approfondire la questione acquistando da Amazon la stessa cuffia per fare una comparativa con quella ricevuta tramite programma Vine. Senza allungarmi troppo, sono rimasto di stucco quando ho constatato lo stesso e identico difetto anche sulla seconda cuffia.HO INIZIATO A PENSARE CHE STESSI SBAGLIANDO IO QUALCOSA, anche perchè leggevo sul web altri recensori che non lamentavano lo stesso problema. Fortunatamente mi sono accorto che l'aveva appena recensita POSITIVAMENTE uno youtuber italiano che stimo tantissimo. Ovviamente gli ho scritto subito nei commenti chiedendo se lui aveva notato lo stesso problema. La prima volta mi ha risposto di no, ma quando gli ho scritto di provare la cuffia al massimo volume e spostandosi manualmente con l'equalizzatore mi ha confermato che riscontrava lo stesso problema.Nonostante avessi avuto la prima conferma dallo Youtuber, non mi sono fermato qui. Infatti ho contattato un rivenditore B&O presente nella mia zona spiegando il problema che stavo riscontrando. Il rivenditore si è reso subito disponibile e non credeva a quello che gli stavo raccontando. Mi ha detto che aveva appena ricevuto un campione di questa cuffia in negozio e che potevamo analizzare la cosa. Così è stato, Il gentilissimo signore ha installato e aggiornato la sua Beoplay HX sul suo smartphone Android  ed ha constatato SBALORDITO l'effettiva problematica di cui vi ho parlato. Ovviamente per spiegare al meglio a chi sta leggendo questa recensione il problema, ho fatto un video in cui vi mostro il difetto sulla mia B&O HX. Tenete presente però che siamo a 4 cuffie su 4 con lo stesso problema, fate un pò voi..PARLIAMO UN PO' DEGLI ALTRI ASPETTI DI QUESTA CUFFIAIL DESIGN l'ho trovato davvero fantastico, un attenzione ai dettagli minimale. Materiali come alluminio e vera pelle rendono questa cuffia estremamente elegante e raffinata a livello estetico.ANCHE RISPETTO ALLA COMODITA' c'è poco di cui potersi lamentare, l'ho trovata estremamente comoda, stringe il giusto, non pesa molto (285g) ed è piuttosto compatta e non invadente sul capo.L'AUTONOMIA è OTTIMA considerando che può suonare per circa 40 ore senza ANC e circa 35 ore con ANC attiva.L'APPLICAZIONE se paragonata a quella disponibile per la cuffia Sony MX4 è decisamente più ""ESSENZIALE"". Si può solo controllare l'equalizzazione ( abbiamo ascoltato in che modo!! ). Si può controllare il livello di cancellazione del rumore e impostare altre due cosette come il tempo di standby prima dell'autospegnimento e attivare/disattivare la funzione di autoplay e pausa quando togliamo la cuffia da capo, nulla in più.LA CANCELLAZIONE ATTIVA DEL RUMORE, unita a quella passiva è da apprezzare. A parer mio funziona molto bene e riesce ad abbattere di molto i rumori esterni. Anche in questo comparto la cuffia di Sony fa un pelino meglio ma in questo comparto la B&O mi ha convinto positivamente.MANCA UNA GUIDA VOCALE e abituato alla Sony MX4 dove è presente, avverto molto la mancanza nell'utilizzo della cancellazione del rumore ad esempio. Quando sulla B&O attivo tramite il pulsante la cancellazione del rumore o la disattivo, avverto solo dei toni difficili da interpretare. Se poi stiamo ascoltando della musica questi toni non si avvertono assolutamente, anche perchè vengono riprodotti lasciando la musica al massimo volume. Sulla cuffia di Sony, quando si attiva L'ANC la guida vocale lo segnala riducendo momentaneamente la musica per poi farla riprendere morbidamente.ALTRA COSA SCOMODA RISPETTO alla MX4 di Sony è che se mi si avvicina una persona che mi sta parlando mentre ascolto musica, sono costretto o a togliere la cuffia dalla testa per poterci parlare. In alternativa dovrei mettere in pausa la musica con un tap sul padiglione DX e premere il pulsante sul padiglione SX per disattivare l'ANC e impostare la modalita' trasparenza. Sulla MX4 di Sony, mentre ascolto musica posso poggiare la mano sul padiglione e la cuffia attiverà immediatamente la modalità trasparenza riducendo la musica. Tolta la mano la musica risalirà in modo soft e si riattiverà L'ANC ( se attivato in precedenza).UN'ALTRA COSA PER CUI PREFERISCO la mx4 di Sony è in fatto che la cuffia è pieghevole, per cui una volta chiusa occupa pochissimo spazio riducendo abbondantemente la dimensione della custodia necessaria per il trasporto.LE MIE PERSONALI CONSIDERAZIONI IN CONCLUSIONEPer me non è mai un piacere trovarmi a dover penalizzare un prodotto con il mio giudizio. Capisco bene e mi rendo conto che dietro ad ogni prodotto c'è gente che lavora e si impegna. Purtroppo in questo caso non posso fare diversamente. Una cuffia che è arrivata da me con aspettative altissime e che ha saputo darmi parecchia delusione.Tengo a sottolineare che se utilizzate la cuffia al 60% del volume, anche enfatizzando gli alti o i bassi con l'equalizzatore, il problema non si presenta e la cuffia offre un suono davvero eccezionale.I problemi (a parer mio davvero molto gravi) vengono fuori quando si inizia ad andare oltre il 60/70% del volume. Siete disposti a spendere circa 500,00 Euro al 07.04.2021 per una cuffia con questi limiti e caratteristiche generali? A voi la scelta.Sono abbastanza sicuro che la maggior parte dei lettori, leggendo la mia recensione penserà che ho sbagliato io qualcosa e che non possibile che la Beoplay HX soffra della problematica descritta. Sono altrettanto convito però, che se deciderete di acquistarla, dopo un minuto di utilizzo ripenserete alla mia recensione.Sperando di esservi stato di aiuto con la mia esperienza a riguardo di questa Bang&Olufsen Beoplay HX, ne approfitto per salutare.
"
3547,"
Me encantan estos auriculares:en cuanto a su construcción, elección y selección materiales empleados, así como su mecanizado y ajuste, tengo que decir que estoy muuuy satisfecho, ni la más mínima holgura, marca, rebaba, ruido , nada de cada, calidad de materiales y calidad de construcción por totas partes, destila calidad y exclusividad, un 10 sin duda alguna.son muy cómodos, se sientes claramente más que los Bose que acabo de jubilar, pero sin embargo se sujetan algo mejor y no fatigan tanto con el paso de las horas.respecto al sonido , los uso casi por completo para ver cine, Netflix , series...etc , por lo que no me interesan auriculares con ""color del sonido""  sino que quiero un sonido neutro y fiel al original ,  sin procesado o tendencia a resaltar una frecuencias sobre las otras como es el caso de Sony ( probé el harchirecomendado SONY WH100XM4 que es un fantástico auricular pero más orientado a música e incluso más hacia unos géneros musicales concretos) , el sonido del estos B&O es especialmente nítido y preciso, se distinguen con precisión los distintos sonidos tanto en canal como frecuencias y la experiencia envolvente es bastante convincente, mis viejos Bose aunque muy buenos en este sentido se quedan 2 pasos por detrás justificando en mi caso la inversión que supone el cambio de auriculares.solo los uso en casa por lo que las funciones de cancelación de sonido no las uso salvo el modo transparente que no conocía y me está resultando útil.como crítica constructiva diría que el sistema táctil de control de volumen o pausa/ playa no es tan ágil como otras opciones, la casi ausencia de botones mejora la estética ligera y elegante eso sí.la caja de trasporte es de calidad y robusta, nada que ver con los trapos o bolsas con velcro de otros auriculares que también tienen un precio elevado.el emparejamiento es muy rápidolos amantes de los graves bien presentes deberían de optar por otros fabricantes, los graves en estos B&O estar están ... pero no más que medios o agudos.estos B&O  cuestan un dinero.. pero ademas de costarlo tambien lo valen, el valor se ve, se toca y se escucha, se ajusta perfectamente a mis necesidades de uso sin duda.como escribi al empezar... me encantan estos  auriculares.
"
